paperId,volumeId,pages
2fff73dba1c608688f55beb6d79223b711431b3f,ef06c0d3-1058-40d0-9f36-d72394c04bdb,
446dd2746d8f82fba3b4e6aa5c567789f5e25633,20998e72-1721-4927-a051-28d0d8599325,
35a1fbab2df54d2a450312a6a063ed52b1ff70e7,08f75737-ff75-4f38-a3ef-58c9c14e093b,
3ba7c316b1a5709189fe99afead99d45e5347892,6ead5b51-b848-42dc-bdf4-d2b63eeb19d0,
f4b409230455c0859ef480e8e98bba6796cdb392,974f6f06-12a9-4c27-a33b-00c007cd6a61,
1ccebffaed48a3d89ebd87d330d9ac1e199ea782,7a9d7143-d5a3-4033-a7b7-3cd7c2d23a70,369 - 378
2d2a115cfeb9a9823c651635ae07ad19800114af,f1602b74-6e05-40d1-8a6c-6db75cfc3053,2616 - 2631
491ea20d8d15d60f4f5aad565b2fe7b48cbfb5b7,0250b78a-fc4e-4004-bdd4-a89041831db5,
6f8f0c135beefd2a49f7000943a62bf5d8179207,a5e890c5-819f-47b2-9440-ea4e7f4343cd,e614 - e623
94823bdd3abe3803fedc0b3d5ff5be438e252753,9c3fb583-04d6-49f7-ab3f-f27402866be4,"
          17277-81
        "
f3f6bb4a4cd299f97516ec5f52842e576926eb27,1637504d-f8c7-4c0e-acf7-9f8ca0e354d7,
4a3228ac1a7c0c3eaf8cd5f5f4b84075816552f9,c285e899-8961-404f-a5c7-27db357407bc,
b5b4fb52bf16479b5ce96b6a7dd17b0aecca21be,43f94ab2-5e4f-43eb-9c2b-6a5515b8646d,87 - 99
99918952af47d176e2cbdc59e89e0e585f8b18c1,667a4042-e0eb-431d-a860-d47eb8821d08,108916 - 108916
80fbd7407b778e7aa4b5304e62ede135d2e8e59a,b78ff7f3-e664-45c4-bf8a-d29295a7f385,
b56bfaab213e3309746fe47644cbf736f45ab3b0,c5ea7217-488f-49da-bfa7-caae6c0c6971,
f74c4cf60b33c8d4f51c6d9d781e975b3e0ec743,72c4a556-5f4b-4713-9425-f4af580d1151,121 - 126
af4cd806d3d7aa47fcf3a14e1a21ffa7945aac3d,8e2e8908-92de-4904-82f0-9d6edee1a3a3,
089e0b04ec918c62b7104fb5c14789e2f2995d2a,b0528f5b-bacb-4c53-94c1-df2d61ec9ce0,290-296
be7a50cf21e1393a340f32e84c9d013dcedc9949,211077cb-1d66-46c7-9caf-90305b9db689,
507b88bfb8d0ed0fc02f59deab938855c1a12a6c,afdbf4af-a2e8-48db-a9a0-7ecf119b1ab4,
e4d54c82019c952ab2b16875aaeb4fa45966dd42,c19f204f-39b6-4d86-bebc-7945e70be33d,"
          1129-1144
        "
beac44a5720f55adef3eb62a737cbcf939d515ba,967ea8fa-90f6-43a8-8052-bb8fb5337be2,
07e19dbbddc902f0f8b803f3c7380ff7b24eff2f,5920d193-306d-4068-afcc-eb42a6d531b3,102 - 111
1ebfb6f12ffc4d74dbe502e2a511ba755ead912b,6d124d91-d352-4e62-886f-38e33e0a1ae0,
61515f429a60c29d9bd3cdc169ac7c419c8912f3,bdf043a2-982a-49c3-9300-077a00cf31cb,
8d36f84479bf77984ec1f33abb30274f6ca67e4e,51fb6da4-140f-4f32-82c2-fead041868c3,1691 - 1698
0ce2a1830861f0a53be49ef75e769bd3d4d5e724,8c7bef7b-1d1b-4297-b894-bc0b5278387f,
351a900c630922541d0b1f128f6f0e2bc607c884,813cd720-e631-4309-ad40-dddce185268a,
8d0f6aec52f35913590917d2b5968bccc0f58305,46abbf56-8467-4ed6-900e-d83f40494c3c,607 - 617
1bf530c7cc35d9f4dea30639ce43e9931778e2bc,17801a5d-02dd-4d6c-8579-a6f1889d6784,"
          3-9
        "
